deal_id,rep_name,territory,motion,stage,ARR,close_date,days_in_stage,risk_flag,past_stage_sla,high_discount,low_engagement
D1000,Alex Rivera,Federal,New,Demo,158000,2026-10-24,26,True,False,False,True
D1001,Alex Rivera,Federal,New,Negotiation,151000,2026-09-30,45,True,False,True,False
D1002,Alex Rivera,Federal,Renewal,Demo,122000,2026-11-05,11,False,False,False,False
D1003,Alex Rivera,Federal,Expansion,Demo,41000,2026-06-16,14,True,False,True,False
D1004,Alex Rivera,Federal,New,Proposal,117000,2026-10-07,10,False,False,False,False
D1005,Alex Rivera,Federal,New,Negotiation,140000,2026-10-08,46,True,True,False,True
D1006,Alex Rivera,Federal,New,Qualified,51000,2026-09-25,44,False,False,False,False
D1007,Alex Rivera,Federal,Renewal,Demo,137000,2026-06-13,22,True,False,False,True
D1008,Jordan Lee,West,Renewal,Demo,62000,2026-09-04,14,False,False,False,False
D1009,Jordan Lee,West,Renewal,Proposal,107000,2026-07-24,6,False,False,False,False
D1010,Jordan Lee,West,Renewal,Demo,136000,2026-07-11,18,True,False,True,False
D1011,Jordan Lee,West,New,Prospect,141000,2026-10-12,48,True,True,False,False
D1012,Jordan Lee,West,Renewal,Proposal,92000,2026-08-25,28,True,False,True,True
D1013,Jordan Lee,West,Expansion,Proposal,49000,2026-08-20,39,False,False,False,False
D1014,Jordan Lee,West,New,Proposal,119000,2026-06-16,33,True,False,False,True
D1015,Jordan Lee,West,New,Demo,118000,2026-07-07,58,True,True,False,False
D1016,Jordan Lee,West,New,Qualified,167000,2026-10-24,4,False,False,False,False
D1017,Jordan Lee,West,New,Proposal,67000,2026-10-12,30,False,False,False,False
D1018,Jordan Lee,West,New,Negotiation,74000,2026-07-27,10,True,False,True,False
D1019,Morgan Chen,SMB,Renewal,Demo,113000,2026-11-01,10,True,False,True,False
D1020,Morgan Chen,SMB,New,Demo,107000,2026-08-04,10,False,False,False,False
D1021,Morgan Chen,SMB,Renewal,Demo,144000,2026-07-29,6,False,False,False,False
D1022,Morgan Chen,SMB,New,Proposal,36000,2026-07-16,27,False,False,False,False
D1023,Morgan Chen,SMB,Renewal,Proposal,122000,2026-10-04,27,True,False,True,False
D1024,Morgan Chen,SMB,Renewal,Demo,55000,2026-07-05,42,False,False,False,False
D1025,Morgan Chen,SMB,Renewal,Qualified,80000,2026-06-04,51,True,True,False,False
D1026,Morgan Chen,SMB,Renewal,Proposal,118000,2026-09-08,9,True,False,False,True
D1027,Taylor Kim,Enterprise,New,Prospect,91000,2026-08-23,11,True,False,False,True
D1028,Taylor Kim,Enterprise,Expansion,Qualified,22000,2026-10-13,35,False,False,False,False
D1029,Taylor Kim,Enterprise,Renewal,Demo,42000,2026-09-09,37,True,False,True,False
D1030,Taylor Kim,Enterprise,Expansion,Demo,42000,2026-06-12,47,True,True,False,False
D1031,Taylor Kim,Enterprise,New,Negotiation,30000,2026-09-06,10,False,False,False,False
D1032,Taylor Kim,Enterprise,New,Demo,115000,2026-10-23,31,True,False,True,False
D1033,Taylor Kim,Enterprise,Renewal,Negotiation,77000,2026-06-24,33,True,False,False,True
D1034,Taylor Kim,Enterprise,Expansion,Proposal,18000,2026-07-12,17,False,False,False,False
D1035,Taylor Kim,Enterprise,Expansion,Qualified,56000,2026-11-03,37,True,False,False,True
D1036,Taylor Kim,Enterprise,Expansion,Proposal,48000,2026-07-23,22,False,False,False,False
D1037,Taylor Kim,Enterprise,New,Negotiation,168000,2026-07-20,38,False,False,False,False
D1038,Taylor Kim,Enterprise,New,Negotiation,48000,2026-08-30,10,False,False,False,False
D1039,Taylor Kim,Enterprise,Expansion,Negotiation,13000,2026-10-06,6,False,False,False,False
D1040,Taylor Kim,Enterprise,New,Demo,101000,2026-06-04,19,False,False,False,False
