rep_name,territory,quota,attainment,attainment_pct,pipeline,win_rate,avg_deal_size,days_to_close,base,variable_target,calculated_bonus,untapped_tam_m,territory_segment
Alex Rivera,Federal,920000,834624,0.9072,3190290,0.343,35000,63,92000,35000,35000,8.5,Government
Jordan Lee,Enterprise,810000,619407,0.7647,1548220,0.204,68000,58,84000,17000,8500,3.2,Healthcare
Morgan Chen,SMB,1190000,850136,0.7144,4554991,0.378,60000,53,87000,35000,17500,4.1,Education
Taylor Kim,West,890000,1015312,1.1408,1895861,0.402,61000,29,94000,20000,25000,5.8,Healthcare
Casey Patel,Enterprise,1060000,999368,0.9428,1919145,0.287,107000,43,90000,30000,30000,3.5,Enterprise Tech
Drew Nguyen,Enterprise,530000,486328,0.9176,2052522,0.394,99000,58,123000,35000,35000,6.1,Healthcare
Quinn Walsh,SMB,490000,325458,0.6642,999395,0.278,113000,72,108000,34000,17000,1.8,Education
Avery Brooks,Enterprise,1160000,884268,0.7623,3518527,0.361,71000,29,85000,32000,16000,4.7,Enterprise Tech
Reese Torres,SMB,510000,258927,0.5077,1835154,0.264,53000,69,126000,43000,21500,2.1,Education
Blake Okafor,East,1050000,934500,0.8900,2658675,0.299,53000,37,98000,43000,43000,7.9,Government
Sam Hernandez,SMB,1080000,955368,0.8846,4502722,0.410,58000,38,109000,40000,40000,2.6,Healthcare
Jamie Russo,West,1140000,976068,0.8562,3776830,0.262,30000,41,113000,25000,25000,4.3,Enterprise Tech
